,blue_1_gold,blue_1_kills,blue_1_assists,blue_1_deaths,blue_1_win,blue_2_gold,blue_2_kills,blue_2_assists,blue_2_deaths,blue_2_win,blue_3_gold,blue_3_kills,blue_3_assists,blue_3_deaths,blue_3_win,blue_4_gold,blue_4_kills,blue_4_assists,blue_4_deaths,blue_4_win,blue_5_gold,blue_5_kills,blue_5_assists,blue_5_deaths,blue_5_win,red_1_gold,red_1_kills,red_1_assists,red_1_deaths,red_1_win,red_2_gold,red_2_kills,red_2_assists,red_2_deaths,red_2_win,red_3_gold,red_3_kills,red_3_assists,red_3_deaths,red_3_win,red_4_gold,red_4_kills,red_4_assists,red_4_deaths,red_4_win,red_5_gold,red_5_kills,red_5_assists,red_5_deaths,red_5_win,win,teamId,id
17,0.03454772152209384,30,26,25,4,0.03946020821073301,45,42,33,2,0.046235585740559096,42,64,27,3,0.05656914961578551,43,88,49,4,0.03815377462193015,19,77,31,4,0.039531701273811,37,30,29,1,0.038000335788255776,39,48,22,2,0.028652940100471973,22,92,37,2,0.031590572366579334,16,43,26,3,0.04313241129537145,43,22,29,4,1,200,BR1_2332778537
18,0.03804581111100882,35,31,16,2,0.03952567468451199,36,36,27,1,0.03814311072058169,41,87,46,2,0.033752351135389554,27,40,36,3,0.03619952200855417,28,21,30,3,0.0364568111197382,31,30,21,4,0.04600750786052304,54,43,34,3,0.028370418891122434,23,34,29,2,0.0335662170080065,21,26,21,2,0.04956437451232779,34,71,24,3,1,100,BR1_2332748112
19,0.045756815375869335,49,72,44,1,0.03655552267263714,33,23,19,1,0.03743487690170179,26,37,30,1,0.0350989036412602,35,37,45,2,0.03169699039611597,21,15,24,2,0.04279131294122782,47,68,36,3,0.03135904036712279,31,22,30,2,0.047695778847912734,56,78,48,3,0.029600102627693282,20,30,16,3,0.03235763563300277,19,24,20,2,1,100,BR1_2332747661
20,0.035043157425337354,34,30,15,5,0.03638623596465859,45,54,30,2,0.037871108616998994,43,36,37,1,0.03350951198526025,36,30,18,1,0.033703394411625114,25,100,39,3,0.034374557572456096,35,26,40,2,0.034362147480782736,40,43,27,3,0.03504974060096318,31,31,31,4,0.032406713174540025,28,21,26,1,0.022500129656987198,11,81,32,3,0,200,BR1_2333027095
21,0.053543057240125466,28,19,19,3,0.025847734182979334,19,74,36,3,0.030299329551142513,24,21,33,1,0.039332943918174594,35,25,22,3,0.054398306555002635,45,119,43,5,0.03391418365557753,35,15,41,1,0.030772973159326415,23,25,19,2,0.04742262809449567,60,41,30,3,0.032177255856046375,28,39,32,2,0.024731677852174203,8,54,10,4,1,200,BR1_2332094005
22,0.03134050479305735,24,34,33,1,0.03754315815229112,25,27,39,2,0.04467807993673882,42,32,34,2,0.03399504832233371,33,45,45,2,0.032465279453832055,33,75,28,4,0.0372927738247949,41,16,38,2,0.036209230864056856,42,49,38,3,0.035195824135924245,31,16,30,1,0.04366651315338706,43,48,20,3,0.039217951320951995,47,64,33,5,0,200,BR1_2331396584
23,0.03705420194536853,30,31,25,2,0.03818814419934776,35,38,18,5,0.038519051740073085,37,33,33,3,0.03117264621903211,22,12,23,1,0.050143427679428226,38,36,27,2,0.03450846484637705,47,61,39,5,0.03535186790857177,37,14,40,1,0.0470017392432636,28,78,53,0,0.03384322051879027,31,38,34,2,0.022966203462489353,12,24,23,0,1,200,BR1_2330682780
24,0.055051541260299486,40,25,34,3,0.03258338246257102,41,31,28,2,0.04043832719670442,44,22,26,1,0.037652637971094007,29,42,32,2,0.02841828231099867,8,106,32,4,0.03664831225220201,38,15,37,2,0.034179916183456366,28,49,20,3,0.03879722923583312,29,23,22,4,0.03835462275165099,34,23,20,4,0.029820820541288002,22,74,49,2,0,200,BR1_2330005720
25,0.04760810063712773,62,69,39,4,0.03054871125179983,29,23,18,2,0.03334710701372919,21,40,27,2,0.03763828872822075,28,37,48,2,0.04297464001890861,45,40,27,4,0.0398462053220932,45,60,41,4,0.033568549145634036,32,49,28,4,0.03353370344602328,25,42,12,4,0.046477303666623,33,50,35,3,0.06376926153881982,65,42,23,4,1,200,BR1_2331086393
26,0.0342954608348255,23,25,18,4,0.03388509419518868,35,46,43,1,0.03475216815502447,28,24,34,2,0.03327441583196729,29,35,37,1,0.025659299090633005,17,68,28,3,0.038740867843456615,47,50,46,3,0.04511981633339285,32,37,54,2,0.026253336306065675,8,30,16,1,0.03707771519463543,34,30,34,3,0.024539323208265195,17,47,26,2,1,200,BR1_2331094970
27,0.038594705736023915,43,42,39,3,0.03504712556809614,42,35,26,4,0.035515783935742576,34,28,31,4,0.03609760651357209,39,27,28,4,0.02419299925036391,12,90,32,2,0.03767691560488397,28,32,34,3,0.04096227596335647,54,32,23,2,0.04008735278586156,56,31,36,3,0.040655961738602475,32,53,24,3,0.01909597679118265,6,34,28,0,1,100,BR1_2330710293
28,0.03843002965717566,34,28,21,4,0.03279424675629488,27,36,23,2,0.034423570483911925,17,38,25,3,0.0477198062475043,67,54,47,3,0.023412587769014146,12,55,18,3,0.03185716281284209,30,25,36,3,0.035262870778993004,44,59,39,1,0.03979759002926777,47,36,34,3,0.04103432960722133,33,45,25,3,0.03643608372447322,35,73,30,3,1,200,BR1_2330673875
29,0.04432538737966014,52,57,33,4,0.03638160359675561,36,26,25,4,0.03317872838657112,22,16,15,1,0.03513735604503991,33,48,40,3,0.02269159186023678,9,55,21,3,0.04062852891881251,38,22,29,3,0.06199983596667595,65,18,11,4,0.03427804840090158,42,38,37,3,0.04029426298994014,39,30,30,1,0.024986099810924096,11,88,31,3,1,200,BR1_2330588287
30,0.04187847414366039,39,15,21,3,0.03631127435753734,57,44,33,4,0.034595835772198734,29,31,32,2,0.037998029227029786,37,33,16,3,0.03806710804365886,38,89,46,2,0.029266556255085518,20,32,28,2,0.03438167405495722,28,50,32,2,0.040084396013702284,51,24,21,3,0.05281216038572205,46,40,25,1,0.02327453168219766,12,51,42,1,0,100,BR1_2330542085
31,0.026403320068213772,22,17,47,0,0.030450619639423568,22,27,21,1,0.02999254453735253,16,20,22,2,0.061385231206657107,55,64,28,3,0.02622289589008229,10,80,29,3,0.04602466233705051,46,32,27,4,0.02852654208509927,13,35,26,3,0.03359440338504638,27,26,32,3,0.03573669609206243,28,24,19,3,0.02301346974492503,8,69,23,3,1,200,BR1_2330333322
